ZIP,MedianIncome
05736,46375
05737,64063
05738,68534
05739,58393
05740,
05742,82212
05743,46824
05744,54423
05747,50625
05748,41250
05751,58000
05753,60368
05757,56181
05758,58750
05759,52679
05760,59000
05761,54926
05762,49821
05763,54196
05764,49417
05765,61675
05766,47946
05767,50938
05769,61154
05770,64625
05772,59821
05773,56923
05774,59271
05775,36316
05776,55156
05777,59468
05778,52109
05819,44375
05820,36190
05821,63631
05822,42625
05824,54183
05825,31875
05826,55278
05827,50147
05828,58036
05829,39573
05830,45865
05832,63750
05833,57396
05836,48594
05837,40278
05839,46333
05841,61875
05842,54167
05843,43920
05845,32396
05846,34803
05847,53661
05850,60881
05851,42300
05853,35000
05855,47200
05857,59781
05858,33000
05859,42760
05860,43942
05862,63438
05866,52125
05867,58750
05868,42083
05871,49524
05872,40735
05873,56985
05874,43611
05875,60481
05901,34375
05902,35625
05903,39559
05904,20714
05905,40667
05906,41029
05907,50536
06001,122486
06002,73593
06010,64586
06013,121635
06016,81923
06018,70446
06019,90246
06020,
06021,73000
06022,
06023,90096
06024,79423
06026,93385
06027,91800
06029,82365
06031,87891
06032,96602
06033,105930
06035,101742
06037,94545
06039,83176
06040,60906
06042,79106
06043,101667
06051,32556
06052,64955
06053,49032
06057,1e+05
06058,77583
06059,
06060,137464
06061,
06062,62459
06063,114688
06065,98194
06066,60790
06067,79421
06068,74353
06069,77083
06070,118538
06071,101897
06073,166250
06074,105986
06076,72500
06078,102437
06081,79559
06082,73494
06084,112740
06085,91563
06088,67375
06089,103625
06090,122308
06091,
06092,142111
06093,112469
06095,89429
06096,67072
06098,60248
06103,80030
06105,32126
06106,32550
06107,122393
06108,50361
06109,81452
06110,67118
06111,79181
06112,37089
06114,36227
06117,120799
06118,54843
06119,81117
06120,25154
06160,
06226,32053
06231,104267
06232,100507
06234,74938
06235,81204
06237,100179
06238,88562
06239,46369
06241,76753
06242,83125
06243,
06247,74679
06248,104837
06249,93531
06250,85280
06254,92279
06255,68750
06256,54596
06259,88145
06260,58490
06262,62026
06263,37452
06264,93000
06266,58558
06268,48688
06269,
06277,82731
06278,68362
06279,75885
06280,65884
06281,88828
06282,59620
06320,37357
06330,65302
06331,89213
06332,71632
06333,108152
06334,81458
06335,94592
06336,
06339,85348
06340,58331
06350,
06351,67111
06353,
06354,68367
06355,91888
06357,74384
06359,78571
06360,54407
06365,74083
06370,80915
06371,92931
06373,38438
06374,66830
06375,91509
06376,
06377,76774
06378,93308
06379,68500
06380,42639
06382,66345
06384,78375
06385,76186
06387,96786
06389,
06390,150703
06401,45467
06403,88355
06405,75631
06409,31905
06410,107388
06412,86675
06413,76297
06414,
06415,100782
06416,85856
06417,69028
06418,57500
06419,113413
06420,108188
06422,116232
06423,82875
06424,99602
06426,98185
06437,107587
06438,91094
06441,111336
06442,74421
06443,108167
06444,
06447,110250
06450,60655
06451,54422
06455,111579
06456,
06457,63914
06460,84784
06461,91435
06467,107589
06468,109631
06469,76406
06470,116959
06471,78898
06472,86250
06473,97188
06475,74185
06477,109538
06478,104316
06479,90417
06480,88433
06481,75625
06482,112733
06483,75550
06484,89250
06488,90324
06489,90187
06492,77181
06498,95833
06510,52297
06511,38614
06512,59407
06513,40427
06514,72072
06515,51136
06516,55299
06517,83945
06518,72943
06519,26712
06524,109844
06525,138320
06604,35934
06605,43580
06606,55304
06607,39874
06608,33536
06610,43867
06611,115346
06612,136786
06614,81576
06615,58897
06702,12036
06704,37362
06705,45663
06706,41022
06708,52074
06710,28855
06712,102617
06716,87045
06750,64531
06751,91359
06752,102250
06754,93333
06755,94073
06756,96157
06757,58917
06758,93000
06759,83686
06762,105179
06763,88929
06770,63368
06776,83080
06777,96875
06778,64573
06779,66349
06782,82409
06783,119167
06784,112756
06785,81719
06786,67329
06787,67181
06790,61340
06791,104205
06793,91033
06794,93274
06795,97043
06796,80972
06798,82923
06801,97416
06804,113131
06807,144583
06810,58073
06811,89196
06812,104402
06820,208848
06824,140313
06825,103250
06830,107086
06831,140924
06840,174677
06850,88591
06851,93887
06853,136189
06854,66075
06855,78295
06856,
06870,217361
06877,151250
06878,207500
06880,178421
06883,219868
06890,186488
06896,129871
06897,180677
